 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 HUELVA; 4   ; 73   ; 914   ; 725   ; 23   ; 20   ; 326   ; 133   ; 122   ; 284   ; 213   ; 86   ; 104   ; 89   ; 62   ; 588   ; 298   ; 124   ; 43   ; 49   ; 68   ; 199   ; 831   ; 765   ; 557   ; 119   ; 54   
 HUESCA; 6   ; 1   ; 408   ; 21   ; 11   ; 11   ; 5   ; 43   ; 14   ; 11   ; 23   ; 15   ; 287   ; 6   ; 22   ; 111   ; 39   ; 53   ; 314   ; 923   ; 179   ; 524   ; 64   ; 108   ; 139   ; 42   ; 42   
 JAÉN; 13   ; 75   ; 651   ; 89   ; 51   ; 18   ; 49   ; 191   ; 8   ; 137   ; 200   ; 20   ; 220   ; 374   ; 730   ; 1,016   ; 1,150   ; 425   ; 403   ; 675   ; 86   ; 88   ; 146   ; 53   ; 280   ; 530   ; 22   
 LEÓN; -   ; 42   ; 507   ; 218   ; 21   ; 15   ; 82   ; 253   ; 15   ; 55   ; 93   ; 108   ; 188   ; 319   ; 105   ; 21   ; 115   ; 58   ; 111   ; 91   ; 123   ; 38   ; 105   ; 77   ; 314   ; 1,188   ; 32   
 LLEIDA; 102   ; 8   ; 10   ; 66   ; 13   ; 35   ; 26   ; 24   ; 44   ; 59   ; 12   ; 36   ; 66   ; 19   ; 176   ; 114   ; 57   ; 14   ; 43   ; 1,750   ; 534   ; 505   ; 238   ; 57   ; 88   ; 983   ; 130   
 LA RIOJA; -   ; 6   ; 3   ; 25   ; 16   ; 64   ; 85   ; 12   ; 44   ; 289   ; 219   ; 67   ; 121   ; 15   ; 115   ; 41   ; 1,145   ; 8   ; 25   ; 202   ; 113   ; 201   ; 5   ; 29   ; 330   ; 23   ; 12   
 LUGO; 15   ; 8   ; 14   ; 20   ; 24   ; 5   ; 613   ; 122   ; 16   ; 10   ; 7   ; 11   ; 31   ; 36   ; 46   ; 19   ; 747   ; 238   ; 8   ; 126   ; 131   ; 25   ; 76   ; 21   ; 186   ; 74   ; 19   
 MADRID; 31   ; 4,302   ; 565   ; 481   ; 822   ; 376   ; 294   ; 121   ; 126   ; 567   ; 1,024   ; 118   ; 499   ; 1,835   ; 4,904   ; 1,272   ; 2,200   ; 1,782   ; 663   ; 493   ; 1,137   ; 3,212   ; 196   ; 2,364   ; 791   ; 4,534   ; 1,100   
 MÁLAGA; 93   ; 214   ; 350   ; 909   ; 1,088   ; 66   ; 131   ; 1,817   ; 185   ; 1,236   ; 3,259   ; 38   ; 951   ; 1,488   ; 264   ; 533   ; 2,487   ; 1,274   ; 2,882   ; 127   ; 641   ; 933   ; 8,668   ; 1,824   ; 5,444   ; 1,305   ; 2,093   
 MURCIA; 25   ; 54   ; 28   ; 725   ; 52   ; 94   ; 2,085   ; 449   ; 45   ; 497   ; 144   ; 88   ; 126   ; 546   ; 242   ; 1,664   ; 1,704   ; 517   ; 7,196   ; 778   ; 1,780   ; 627   ; 8,158   ; 226   ; 1,143   ; 29,092   ; 408   
 NAVARRA; 6   ; 11   ; 12   ; 681   ; 83   ; 62   ; 46   ; 7   ; 65   ; 822   ; 1,381   ; 21   ; 542   ; 609   ; 140   ; 533   ; 708   ; 122   ; 143   ; 2,129   ; 779   ; 1,189   ; 40   ; 163   ; 478   ; 2,296   ; 231   
 OURENSE; -   ; 24   ; 20   ; 6   ; 2   ; 20   ; 195   ; 448   ; 101   ; 11   ; 41   ; 19   ; 20   ; 4   ; 4   ; 22   ; 28   ; 52   ; 3   ; 84   ; 35   ; 7   ; 110   ; 123   ; 165   ; 233   ; 36   
 ASTURIAS; 40   ; 25   ; 202   ; 69   ; 29   ; 54   ; 49   ; 133   ; 28   ; 423   ; 28   ; 91   ; 85   ; 66   ; 228   ; 6   ; 3,169   ; 8   ; 164   ; 387   ; 575   ; 1,006   ; 299   ; 190   ; 811   ; 1,066   ; 114   
 PALENCIA; 1   ; 12   ; 44   ; 936   ; 6   ; 19   ; 23   ; 160   ; 7   ; 11   ; 72   ; 8   ; 16   ; 35   ; 19   ; 1   ; 44   ; 146   ; 104   ; 50   ; 38   ; 22   ; 26   ; 3   ; 101   ; 458   ; 18   
 LAS PALMAS; 9   ; 43   ; 14   ; 4   ; 12   ; 26   ; 222   ; 698   ; 185   ; 19   ; 52   ; 49   ; 380   ; 207   ; 11   ; 105   ; 145   ; 303   ; 240   ; 25   ; 127   ; 778   ; 30   ; 71   ; 69   ; 19   ; 68   
 PONTEVEDRA; 12   ; 57   ; 54   ; 80   ; 101   ; 82   ; 655   ; 509   ; 153   ; 139   ; 145   ; 84   ; 5,075   ; 33   ; 46   ; 317   ; 107   ; 1,963   ; 204   ; 372   ; 1,131   ; 91   ; 950   ; 133   ; 140   ; 303   ; 265   
 SALAMANCA; -   ; 29   ; 35   ; 124   ; 22   ; 2   ; 74   ; 57   ; 3   ; 4   ; 23   ; 1   ; 215   ; 50   ; 263   ; 185   ; 39   ; 79   ; 36   ; 77   ; 65   ; 32   ; 28   ; 17   ; 256   ; 70   ; 81   
 STA. CRUZ DE TENERIFE; 2   ; 9   ; 24   ; 21   ; 7   ; 152   ; 114   ; 42   ; 2,134   ; 35   ; 32   ; 90   ; 165   ; 87   ; 12   ; 243   ; 2,455   ; 70   ; 113   ; 517   ; 1,474   ; 36   ; 113   ; 16   ; 120   ; 10   ; 4   
 CANTABRIA; 286   ; 40   ; 665   ; 198   ; 98   ; 17   ; 168   ; 47   ; 129   ; 288   ; 273   ; 126   ; 1,279   ; 101   ; 668   ; 399   ; 864   ; 181   ; 62   ; 1,282   ; 1,150   ; 1,555   ; 306   ; 106   ; 1,364   ; 3,655   ; 617   
 SEGOVIA; -   ; 14   ; 19   ; 37   ; 2   ; 3   ; 2   ; 3   ; 2   ; 24   ; 15   ; 6   ; 54   ; 22   ; 36   ; 3   ; 32   ; 19   ; 4   ; 67   ; 59   ; 15   ; 18   ; 142   ; 128   ; 97   ; 25   
 SEVILLA; 206   ; 172   ; 1,158   ; 2,399   ; 252   ; 389   ; 133   ; 448   ; 568   ; 479   ; 529   ; 78   ; 581   ; 2,253   ; 180   ; 784   ; 3,100   ; 263   ; 247   ; 885   ; 1,930   ; 225   ; 786   ; 320   ; 607   ; 439   ; 127   
 SORIA; 1   ; 23   ; 5   ; 63   ; -   ; 7   ; 48   ; 49   ; 18   ; 92   ; 14   ; 13   ; 81   ; 7   ; 8   ; 22   ; 4   ; 2   ; 12   ; 126   ; 68   ; 39   ; 43   ; 83   ; 102   ; 81   ; 8   
 TARRAGONA; 1,717   ; 475   ; 180   ; 173   ; 29   ; 189   ; 2,039   ; 791   ; 425   ; 297   ; 2,162   ; 768   ; 1,799   ; 187   ; 779   ; 58   ; 566   ; 852   ; 524   ; 243   ; 585   ; 605   ; 77   ; 211   ; 1,756   ; 1,984   ; 1,167   
 TERUEL; 3   ; 4   ; 34   ; 4   ; 2   ; 37   ; 76   ; 6   ; 22   ; 60   ; 2   ; 13   ; 16   ; 5   ; -   ; 26   ; 17   ; 14   ; 14   ; 128   ; 56   ; 43   ; 12   ; 35   ; 81   ; 20   ; 43   
 TOLEDO; -   ; 81   ; 47   ; 58   ; 41   ; 63   ; 43   ; 61   ; 12   ; 23   ; 26   ; 7   ; 102   ; 391   ; 581   ; 1,029   ; 378   ; 321   ; 38   ; 46   ; 183   ; 247   ; 43   ; 341   ; 320   ; 708   ; 117   
 VALÈNCIA/VALENCIA; 372   ; 462   ; 2,397   ; 1,638   ; 252   ; 934   ; 5,189   ; 3,583   ; 1,526   ; 742   ; 2,770   ; 265   ; 362   ; 4,345   ; 6,214   ; 2,066   ; 523   ; 461   ; 11,414   ; 512   ; 945   ; 3,140   ; 2,992   ; 457   ; 6,155   ; 1,991   ; 14,021   
 VALLADOLID; 10   ; 5   ; 26   ; 460   ; 28   ; 1,171   ; 79   ; 506   ; 14   ; 272   ; 111   ; 10   ; 348   ; 420   ; 74   ; 174   ; 71   ; 1,014   ; 46   ; 640   ; 270   ; 81   ; 51   ; 77   ; 392   ; 724   ; 112   
 BIZKAIA; 65   ; 151   ; 368   ; 65   ; 212   ; 82   ; 24   ; 33   ; 3,692   ; 27   ; 26   ; 184   ; 89   ; 68   ; 5,334   ; 1,750   ; 1,267   ; 687   ; 3   ; 379   ; 230   ; 1,040   ; 247   ; 9   ; 549   ; 85   ; 59   
 ZAMORA; 1   ; 13   ; 58   ; 32   ; -   ; 4   ; 55   ; 149   ; 45   ; 25   ; 3   ; -   ; 40   ; 38   ; 5   ; 14   ; 48   ; 12   ; 4   ; 112   ; 22   ; 21   ; 47   ; 50   ; 36   ; 96   ; 20   
 ZARAGOZA; 11   ; 45   ; 560   ; 304   ; 106   ; 454   ; 237   ; 367   ; 787   ; 1,628   ; 632   ; 37   ; 483   ; 1,321   ; 342   ; 18   ; 172   ; 74   ; 226   ; 254   ; 513   ; 3,056   ; 134   ; 451   ; 2,924   ; 28   ; 206   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 22   ; 12   ; 21   ; 1   ; 76   ; 322   ; 1   ; 34   ; 1   ; 1   ; 31   ; 23   ; 1   ; 2   ; 4   ; -   ; 1   ; 1   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; 13   ; 12   ; 4   ; 1   ; -   ; 50   ; 521   ; 3   ; 4   ; 3   ; 10   ; -   ; 1   ; 18   ; 21   ; 2   ; 58   ; -   ; -   
 DIVERSAS*; 25   ; 26   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
