ID;CLASE DE RIESGO;Nº de Expedientes;Indemnizaciones;%;Costes Medios
46 ;Oficinas; 698   ; 1,617,222   ; 0.3   ; 2,317   
46 ;Comercios ; 12,929   ; 58,189,199   ; 10.3   ; 4,501   
46 ;Industriales; 14,814   ; 189,199,617   ; 33.6   ; 12,772   
46 ;Vehículos Automóviles; 6,358   ; 7,234,850   ; 1.3   ; 1,138   
46 ;Obras Civiles; 62   ; 1,918,947   ; 0.3   ; 30,951   
47 ;Daños personales;4 ; 128,149   ; 0.2   ; 32,037   
47 ;Viviendas y Comunidades de Viviendas; 7,241   ; 33,559,400   ; 58.7   ; 4,635   
47 ;Oficinas; 28   ; 137,354   ; 0.2   ; 4,906   
47 ;Comercios ; 1,014   ; 7,269,774   ; 12.7   ; 7,169   
47 ;Industriales; 261   ; 8,842,189   ; 15.5   ; 33,878   
47 ;Vehículos Automóviles; 1,871   ; 7,103,234   ; 12.4   ; 3,796   
47 ;Obras Civiles; 3   ; 189,563   ; 0.3   ; 63,188   
48 ;Viviendas y Comunidades de Viviendas; 1,442   ; 8,934,210   ; 21.9   ; 6,196   
48 ;Oficinas; 13   ; 76,957   ; 0.2   ; 5,920   
48 ;Comercios ; 418   ; 4,644,748   ; 11.4   ; 11,112   
48 ;Industriales; 208   ; 12,987,556   ; 31.7   ; 62,440   
48 ;Vehículos Automóviles; 669   ; 2,253,155   ; 5.5   ; 3,368   
48 ;Obras Civiles; 3   ; 11,990,729   ; 29.3   ; 3,996,910   
49 ;Daños personales; 1   ; 11,135   ; 0.0   ; 11,135   
49 ;Viviendas y Comunidades de Viviendas; 33,791   ; 27,386,832   ; 56.0   ; 810   
49 ;Oficinas; 127   ; 175,300   ; 0.4   ; 1,380   
49 ;Comercios ; 1,827   ; 5,794,274   ; 11.9   ; 3,171   
49 ;Industriales; 2,496   ; 14,207,814   ; 29.0   ; 5,692   
49 ;Vehículos Automóviles; 1,104   ; 1,135,513   ; 2.3   ; 1,029   
49 ;Obras Civiles; 2   ; 177,553   ; 0.4   ; 88,776   
50 ;Viviendas y Comunidades de Viviendas; 32,559   ; 29,943,396   ; 45.5   ; 920   
50 ;Oficinas; 61   ; 117,951   ; 0.2   ; 1,934   
50 ;Comercios ; 2,310   ; 7,947,974   ; 12.1   ; 3,441   
50 ;Industriales; 2,802   ; 25,471,338   ; 38.8   ; 9,090   
50 ;Vehículos Automóviles; 1,513   ; 1,822,464   ; 2.8   ; 1,205   
50 ;Obras Civiles; 14   ; 362,016   ; 0.6   ; 25,858   
51 ;Viviendas y Comunidades de Viviendas; 1,142   ; 11,323,809   ; 29.9   ; 9,916   
51 ;Oficinas; 2   ; 24,059   ; 0.1   ; 12,030   
51 ;Comercios ; 195   ; 5,662,750   ; 15.0   ; 29,040   
51 ;Industriales; 168   ; 19,115,622   ; 50.6   ; 113,783   
51 ;Vehículos Automóviles; 335   ; 1,317,144   ; 3.5   ; 3,932   
51 ;Obras Civiles; 2   ; 301,055   ; 0.9   ; 150,527   
52 ;Viviendas y Comunidades de Viviendas; 1,731   ; 9,774,713   ; 20.9   ; 5,647   
52 ;Oficinas; 8   ; 105,867   ; 0.2   ; 13,233   
52 ;Comercios ; 348   ; 5,825,300   ; 12.4   ; 16,739   
52 ;Industriales; 129   ; 28,997,731   ; 61.9   ; 224,789   
52 ;Vehículos Automóviles; 524   ; 2,169,911   ; 4.6   ; 4,141   
52 ;Obras Civiles; -   ; -   ; -    ; -   
53 ;Viviendas y Comunidades de Viviendas; 2,139   ; 19,443,724   ; 34.5   ; 9,090   
53 ;Oficinas; 21   ; 180,383   ; 0.3   ; 8,590   
53 ;Comercios ; 641   ; 9,766,310   ; 17.3   ; 15,236   
53 ;Industriales; 255   ; 20,190,043   ; 35.8   ; 79,177   
53 ;Vehículos Automóviles; 372   ; 1,391,763   ; 2.5   ; 3,741   
53 ;Obras Civiles; 10   ; 5,414,160   ; 9.6   ; 541,416   
54 ;Daños personales;9 ; 218,999   ; 0.0   ; 24,333   
