 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 LEÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 2   ; -   ; 2,105   ; 1,099   ; 21   ; 56   ; 311   ; 169   ; 38   ; 43   ; 1,459   ; 20   ; 970   ; 268   
 LLEIDA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 1   ; -   ; 1   ; 4,958   ; 371   ; -   ; 243   ; 150   ; 908   ; 258   ; 3   ; 38   ; 5   ; 72   ; 186   
 LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14   ; 2   ; -   ; 3,978   ; 353   ; 28   ; 5   ; 39   ; 18   ; 6   ; 76   ; 1,885   ; 14   ; 806   ; 179   
 LUGO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 1   ; 24   ; 10,751   ; 2,799   ; 115   ; 155   ; 1,351   ; 1,704   ; 69   ; 278   ; 5,431   ; 253   ; 2,129   ; 221   
 MADRID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12   ; -   ; -   ; 2   ; -   ; 1,798   ; 2,361   ; 20   ; 1   ; 550   ; 290   ; 3,189   ; 9   ; 745   ; 454   ; 2,298   ; 268   
 MÁLAGA; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 18   ; -   ; -   ; -   ; -   ; 4,681   ; 96   ; 2   ; 28   ; 19   ; 143   ; -   ; 34   ; 27   ; 1   ; 33   ; 2   
 MURCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 271   ; 276   ; -   ; 1   ; 1,420   ; 3   ; 724   ; -   ; -   ; 76   ; 201   ; 508   
 NAVARRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2,674   ; 2,135   ; 3   ; 6   ; 130   ; 62   ; 25   ; 20   ; 852   ; 114   ; 1,219   ; 333   
 OURENSE; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; 3,154   ; 1,861   ; 47   ; 104   ; 742   ; 241   ; 127   ; 83   ; 4,090   ; 55   ; 2,561   ; 124   
 ASTURIAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; -   ; -   ; 90   ; -   ; 18,682   ; 2,074   ; 786   ; 129   ; 2,437   ; 986   ; 216   ; 463   ; 5,122   ; 151   ; 2,300   ; 209   
 PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 149   ; 178   ; -   ; 1   ; 53   ; 33   ; 38   ; 13   ; 432   ; 16   ; 150   ; 113   
 LAS PALMAS; -   ; -   ; -   ; -   ; -   ; 4   ; -   ; -   ; -   ; -   ; -   ; 2,181   ; 4   ; -   ; -   ; 2   ; 3,548   ; 1   ; 26   ; 398   ; -   ; 10   ; -   ; 94   ; 70   ; -   ; 548   
 PONTEVEDRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 206   ; 3   ; 28   ; 7,335   ; 9,919   ; 50   ; 229   ; 8,880   ; 1,290   ; 178   ; 102   ; 18,804   ; 599   ; 4,385   ; 146   
 SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; -   ; -   ; -   ; 473   ; -   ; 23   ; 255   ; 56   ; 19   ; 1   ; 216   ; 7   ; 532   ; 77   
 STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ; 13   ; -   ; -   ; -   ; -   ; -   ; 13,847   ; 17   ; -   ; 188   ; 2   ; 10,387   ; 8   ; 1,100   ; 1,238   ; 1,372   ; 17   ; 8   ; 35   ; 939   ; 36   ; 5,176   
 CANTABRIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,427   ; 107   ; -   ; 19,939   ; 1,973   ; 85   ; 166   ; 1,191   ; 1,568   ; 217   ; 36   ; 4,437   ; 270   ; 2,899   ; 45   
 SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 553   ; 3,589   ; 6   ; -   ; 36   ; 88   ; -   ; 4   ; 207   ; 10   ; 2,356   ; 296   
 SEVILLA; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; 1   ; 1   ; -   ; -   ; 36   ; 3   ; 2   ; -   ; 27   ; 299   ; 3,359   ; 12   ; 35   ; -   ; -   ; 180   ; 1   ; -   
 SORIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 139   ; 73   ; 36   ; 3   ; 74   ; 3   ; 1   ; 12   ; 187   ; 10   ; 999   ; 270   
 TARRAGONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3   ; -   ; 2   ; 1   ; 3   ; 4   ; 63   ; 829   ; 24,245   ; 1,221   ; 52   ; 3   ; 1,872   ; 62   ; 113   ; 66   ; 2,005   ; 495   ; 753   ; 360   
 TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 344   ; 20   ; 17   ; 5   ; 2   ; 28   ; 1   ; 4   ; 5   ; 4   ; 52   ; 70   
 TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4   ; -   ; -   ; -   ; -   ; -   ; 1   ; 1   ; -   ; 308   ; -   ; -   ; 26   ; -   ; 1,924   ; -   ; 7   ; 19   ; 46   ; 4   
 VALÈNCIA/VALENCIA; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; 10   ; 5,442   ; -   ; -   ; 39   ; 2   ; 3,049   ; 15,360   ; 28   ; 1,229   ; 26   ; -   ; 1,152   ; -   ; 1   ; 71   ; 3   ; 4,655   
 VALLADOLID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 205   ; -   ; 4   ; -   ; -   ; 1   ; 17   ; 2   ; -   ; -   ; -   ; -   ; -   ; -   
 BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; 473   ; 5   ; 16   ; 22,390   ; 5,380   ; 528   ; 431   ; 994   ; 1,193   ; 559   ; 101   ; 2,898   ; 38   ; 2,692   ; 437   
 ZAMORA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 256   ; 39   ; 2   ; -   ; 8   ; 4   ; -   ; 1   ; 93   ; -   ; 83   ; 26   
 ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20   ; -   ; -   ; -   ; -   ; 321   ; 156   ; 54   ; 19   ; 146   ; 46   ; 505   ; 59   ; 1,538   ; 1,376   ; 745   ; 65   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 DIVERSAS*; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
