 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LUGO; 2   ; 260   ; 86   ; 784   ; 30   ; 3   ; 1   ; 10   ; 2   ; -   ; 3   ; 1   ; 2   ; -   ; -   ; -   ; -   ; 6   ; -   ; -   ; 2   ; -   ; -   ; -   ; -   ; -   ; -   
 MADRID; -   ; 11   ; 11   ; -   ; -   ; -   ; 2   ; -   ; -   ; -   ; -   ; -   ; -   ; 29   ; -   ; -   ; 1   ; 1   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MÁLAGA; 2   ; 1   ; 1   ; 2   ; -   ; 1   ; -   ; -   ; 1   ; -   ; 4   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   
 MURCIA; -   ; 17   ; 4   ; -   ; 5   ; 7,026   ; 2   ; -   ; 779   ; 3   ; 31   ; 2,057   ; 13   ; -   ; -   ; 17   ; 4   ; 25,969   ; 1   ; 6   ; -   ; -   ; -   ; -   ; 1   ; -   ; 1   
 NAVARRA; -   ; -   ; 35   ; -   ; 13   ; -   ; -   ; -   ; 153   ; -   ; 365   ; 1   ; -   ; 1   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; 35   ; -   ; -   ; 36   
 OURENSE; 1   ; 23   ; 6   ; 119   ; 14   ; -   ; -   ; 2   ; -   ; -   ; 4   ; -   ; -   ; -   ; -   ; -   ; 1   ; 4   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   
 ASTURIAS; 5   ; 13   ; 1   ; 36   ; -   ; -   ; -   ; -   ; -   ; 1   ; 1   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LAS PALMAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PONTEVEDRA; -   ; 11   ; 3   ; 55   ; 1   ; -   ; -   ; -   ; 2   ; -   ; 1   ; -   ; 1   ; -   ; -   ; -   ; 2   ; -   ; -   ; 5   ; -   ; -   ; -   ; -   ; 2   ; -   ; -   
 SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CANTABRIA; -   ; -   ; -   ; 3   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
