 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 LEÓN; -   ; 57,974   ; -   ; 151,729   ; 4,234   ; -   ; -   ; -   ; 9,970   ; 4,960   ; -   ; -   ; 17,513   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LLEIDA; -   ; 682   ; 1,587   ; -   ; -   ; 99   ; -   ; -   ; -   ; -   ; -   ; -   ; 927   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LUGO; 2,902   ; 628,237   ; 211,954   ; 1,237,342   ; 22,344   ; 43,490   ; 502   ; 12,886   ; 6,268   ; -   ; 3,018   ; 246   ; 10,455   ; -   ; -   ; -   ; -   ; 17,235   ; -   ; -   ; 940   ; -   ; -   ; -   ; -   ; -   ; -   
 MADRID; -   ; 9,032   ; 9,649   ; -   ; -   ; -   ; 1,403   ; -   ; -   ; -   ; -   ; -   ; -   ; 66,047   ; -   ; -   ; 680   ; 4,423   ; 2,857   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MÁLAGA; 3,446   ; 1,332   ; 96   ; 3,895   ; -   ; 369   ; -   ; -   ; 2,574   ; -   ; 1,533   ; -   ; -   ; 455   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 814   ; -   ; -   
 MURCIA; -   ; 31,277   ; 31,991   ; -   ; 3,012   ; 16,402,558   ; 5,212   ; -   ; 1,368,430   ; 1,681   ; 28,660   ; 8,874,129   ; 17,824   ; -   ; -   ; 26,525   ; 3,118   ; 500,119,138   ; 7,174   ; 3,986   ; -   ; -   ; -   ; -   ; 438   ; -   ; -   
 NAVARRA; -   ; -   ; 53,818   ; -   ; 21,412   ; -   ; -   ; -   ; 381,420   ; -   ; 405,318   ; 178   ; -   ; 2,268   ; -   ; -   ; -   ; 1,211   ; -   ; -   ; -   ; -   ; -   ; 53,617   ; -   ; -   ; 75,697   
 OURENSE; 1,428   ; 37,767   ; 6,560   ; 151,772   ; 11,181   ; -   ; -   ; 1,301   ; -   ; -   ; 14,796   ; -   ; -   ; -   ; -   ; -   ; 1,571   ; 6,835   ; -   ; -   ; -   ; -   ; -   ; 3,447   ; -   ; -   ; -   
 ASTURIAS; 3,408   ; 29,493   ; 494   ; 42,573   ; -   ; -   ; -   ; -   ; -   ; 4,485   ; 424   ; -   ; -   ; -   ; -   ; 625   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 LAS PALMAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 51,757   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14,022   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 PONTEVEDRA; -   ; 19,009   ; 7,086   ; 44,187   ; 556   ; -   ; -   ; -   ; 4,702   ; -   ; 2,620   ; -   ; 566   ; -   ; -   ; -   ; 3,281   ; -   ; -   ; 5,477   ; -   ; -   ; -   ; -   ; 5,264   ; -   ; -   
 SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CANTABRIA; -   ; -   ; -   ; 2,143   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 SEVILLA; 6,181   ; -   ; -   ; -   ; 1,015   ; -   ; -   ; -   ; 4,848   ; 3,080   ; 1,952   ; -   ; -   ; 32,950   ; 69,088   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 SORIA; -   ; -   ; -   ; -   ; 6,889   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TARRAGONA; -   ; 3,478   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 421   ; -   ; 3,145   ; 140,241   ; 21,031   ; -   ; 10,630   ; 43,261   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 VALÈNCIA/VALENCIA; 22,885   ; 17,267   ; 1,843   ; 138,679   ; 23,425   ; 102,017   ; 433   ; -   ; -   ; 29,718   ; 497   ; 118   ; 861   ; -   ; 39,440   ; 71,881   ; 11,346   ; 89   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 VALLADOLID; -   ; -   ; 574   ; 1,700   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ZAMORA; -   ; -   ; -   ; 13,551   ; -   ; -   ; -   ; -   ; -   ; 34,810   ; 3,744   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 188,029   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8,126   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,610   ; -   ; -   ; 7,817,222   ; -   ; -   ; -   ; -   
 DIVERSAS*; 9,019   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
