 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 A CORUÑA; 764,881   ; 430,269   ; 192,241   ; 18,328   ; 52,560   ; 7,383,886   ; 4,224,492   ; 2,457,708   ; 579,500   ; 167,249   ; 260,372   ; 756,449   ; 8,862,067   ; 180,462   ; 540,864   ; 1,710,526   ; 884,278   ; 256,352   ; 76,228   ; 1,678,197   ; 2,048,666   ; 213,218   ; 5,513,831   ; 338,310   ; 1,698,643   ; 1,995,352   ; 894,427   
 CUENCA; 5,368   ; 148,970   ; 276,365   ; 86,435   ; 76,258   ; 727,194   ; 9,233   ; 28,176   ; 78,871   ; 247,593   ; 962,269   ; 23,701   ; 347,122   ; 4,660   ; 93,858   ; 567,369   ; 1,321,785   ; 66,009   ; 871   ; 162,708   ; 361,815   ; 54,479   ; 7,266   ; 1,402,262   ; 505,050   ; 702,258   ; 405,378   
 GIRONA; 8,301,957   ; 218,032   ; 921,128   ; 730,815   ; 44,152   ; 1,073,695   ; 144,811   ; 1,667,533   ; 2,596,265   ; 2,026,425   ; 562,550   ; 48,360,283   ; 5,076,850   ; 285,280   ; 13,027,385   ; 256,921   ; 1,092,572   ; 14,783,450   ; 417,074   ; 1,056,973   ; 16,135,198   ; 2,277,349   ; 887,649   ; 4,347,413   ; 6,899,242   ; 6,006,347   ; 36,798,974   
 GRANADA; 5,738   ; 13,708,626   ; 1,092,506   ; 467,877   ; 32,648   ; 91,868   ; 8,729   ; 232,917   ; 97,801   ; 273,048   ; 617,407   ; 87,770   ; 473,194   ; 14,778,385   ; 492,762   ; 6,301,483   ; 3,841,230   ; 1,062,954   ; 868,022   ; 1,934,095   ; 2,151,723   ; 4,026,163   ; 36,948   ; 141,260   ; 4,562,450   ; 4,536,593   ; 321,742   
 GUADALAJARA; -   ; 2,902,142   ; 115,668   ; 225,037   ; 90,512   ; 124,870   ; 36,197   ; 499,861   ; 38,713   ; 330,644   ; 370,904   ; 301,076   ; 33,696   ; 547,251   ; 270,035   ; 72,769   ; 428,716   ; 1,398,708   ; 11,527   ; 19,287   ; 171,276   ; 150,813   ; 5,251   ; 71,537   ; 513,460   ; 826,913   ; 738,969   
 GIPUZKOA; 237,129   ; 2,681,257   ; 5,786,200   ; 115,132,988   ; 975,775   ; 760,696   ; 199,505   ; 45,299   ; 9,416,225   ; 262,881   ; 4,062,519   ; 115,638   ; 122,815   ; 2,422,959   ; 16,900,507   ; 2,645,541   ; 1,385,813   ; 51,828,654   ; 1,324   ; 3,719,275   ; 13,138,235   ; 3,734,178   ; 2,397,115   ; 3,739,432   ; 891,223   ; 705,548   ; 48,965   
 HUELVA; 11,677   ; 269,271   ; 5,666,161   ; 6,600,039   ; 62,534   ; 88,418   ; 1,743,375   ; 794,300   ; 771,244   ; 1,617,683   ; 1,264,309   ; 515,706   ; 801,093   ; 365,925   ; 375,263   ; 3,209,150   ; 2,176,449   ; 563,183   ; 133,081   ; 253,038   ; 207,696   ; 837,640   ; 3,402,365   ; 2,157,417   ; 3,701,128   ; 677,077   ; 387,910   
 HUESCA; 70,462   ; 10,018   ; 3,499,022   ; 351,440   ; 8,046   ; 75,981   ; 38,676   ; 398,395   ; 21,050   ; 16,090   ; 62,477   ; 137,088   ; 2,743,239   ; 10,160   ; 94,919   ; 630,297   ; 90,993   ; 124,860   ; 8,946,563   ; 5,354,130   ; 322,985   ; 1,558,558   ; 225,329   ; 127,630   ; 470,065   ; 208,361   ; 162,144   
 JAÉN; 89,131   ; 885,169   ; 4,922,534   ; 520,964   ; 371,769   ; 128,415   ; 251,730   ; 1,510,959   ; 63,926   ; 1,656,368   ; 1,917,210   ; 66,070   ; 2,796,307   ; 4,238,491   ; 6,554,037   ; 5,860,739   ; 10,646,160   ; 2,233,291   ; 2,114,723   ; 4,249,306   ; 589,784   ; 168,207   ; 460,075   ; 237,266   ; 982,232   ; 3,071,761   ; 41,712   
 LEÓN; -   ; 442,358   ; 3,014,154   ; 1,160,116   ; 35,084   ; 63,050   ; 317,878   ; 923,706   ; 86,249   ; 127,869   ; 502,113   ; 252,770   ; 791,686   ; 931,709   ; 380,768   ; 61,583   ; 396,274   ; 150,826   ; 242,238   ; 257,594   ; 262,124   ; 75,761   ; 395,419   ; 141,579   ; 742,996   ; 5,181,372   ; 57,485   
