ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
inundaciones; SORIA;1;23;5;63; -   ;7;48;49;18;92;14;13;81;7;8;22;4;2;12;126;68;39;43;83;102;81;8
inundaciones; TARRAGONA;1,717;475;180;173;29;189;2,039;791;425;297;2,162;768;1,799;187;779;58;566;852;524;243;585;605;77;211;1,756;1,984;1,167
inundaciones; TERUEL;3;4;34;4;2;37;76;6;22;60;2;13;16;5; -   ;26;17;14;14;128;56;43;12;35;81;20;43
inundaciones; TOLEDO; -   ;81;47;58;41;63;43;61;12;23;26;7;102;391;581;1,029;378;321;38;46;183;247;43;341;320;708;117
inundaciones; VALÈNCIA/VALENCIA;372;462;2,397;1,638;252;934;5,189;3,583;1,526;742;2,770;265;362;4,345;6,214;2,066;523;461;11,414;512;945;3,140;2,992;457;6,155;1,991;14,021
inundaciones; VALLADOLID;10;5;26;460;28;1,171;79;506;14;272;111;10;348;420;74;174;71;1,014;46;640;270;81;51;77;392;724;112
inundaciones; BIZKAIA;65;151;368;65;212;82;24;33;3,692;27;26;184;89;68;5,334;1,750;1,267;687;3;379;230;1,040;247;9;549;85;59
inundaciones; ZAMORA;1;13;58;32; -   ;4;55;149;45;25;3; -   ;40;38;5;14;48;12;4;112;22;21;47;50;36;96;20
inundaciones; ZARAGOZA;11;45;560;304;106;454;237;367;787;1,628;632;37;483;1,321;342;18;172;74;226;254;513;3,056;134;451;2,924;28;206
inundaciones; CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;22;12;21;1;76;322;1;34;1;1;31;23;1;2;4; -   ;1;1
inundaciones; MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2;13;12;4;1; -   ;50;521;3;4;3;10; -   ;1;18;21;2;58; -   ; -   
inundaciones; DIVERSAS*;25;26; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
tempestad; ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;2; -   ;6;6; -   ;2,745;7,123;304;31;482;82;37;19;5,552;7;446;376
tempestad; ALBACETE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ;1;1; -   ;206;49;229;1,757;15; -   ; -   ; -   ;3; -   ; -   ; -   
tempestad; ALACANT/ALICANTE; -   ; -   ; -   ;1; -   ; -   ; -   ;2; -   ;785;2;56; -   ;9;3;37,803;5; -   ; -   ; -   ; -   ;246; -   ;796;9;445;1,618
tempestad; ALMERÍA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ;1; -   ;1; -   ; -   ; -   ;525; -   ;2;728;335;1,716; -   ;529;250;938;1
tempestad; ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ;15;100; -   ; -   ;59;15;191; -   ;44; -   ;973;118
tempestad; BADAJOZ; -   ; -   ; -   ;921; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ;26;2;38;2,761; -   ; -   ; -   ;3;9;221;6
tempestad; ILLES BALEARS; -   ; -   ; -   ; -   ; -   ; -   ; -   ;7,220; -   ;1;59;2;6;9,514;1,646;8,964;715;14;153;339;157;281;3;1,752;141;869;1,585
tempestad; BARCELONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4; -   ;3,227;15;420;93;2;3;53,314;63;4;442;467;16,364;524;309;611;68;1,573;25,171
tempestad; BURGOS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;12; -   ; -   ;1,795;2,004;162;32;467;275;66;87;4,701;39;1,753;880
