 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 GIPUZKOA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 17,163   ; 4,340   ; -   ; 11,493,415   ; 7,978,685   ; 6,584   ; 19,321   ; 865,036   ; 222,261   ; 105,651   ; 2,370   ; 3,013,216   ; 26,593   ; 3,060,750   ; 816,634   
 HUELVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 137,398   ; -   ; 1,945   ; 96,668   ; -   ; 9,416   ; 233   ; 818,597   ; -   ; 116,563   ; 141,303   ; 432,525   ; -   ; 282,866   
 HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3,473,526   ; 2,731   ; 2,763   ; 336,631   ; 16,087   ; 328,456   ; 127,827   ; 12,709   ; 46,031   ; 15,886   ; 36,951   ; 13,237   
 JAÉN; -   ; -   ; -   ; 18,186   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,310,977   ; -   ; -   ; -   ; -   ; -   ; 264,292   ; -   ; -   ; 919,099   ; -   ; -   ; -   ; 678   ; 172,446   ; 120   ; -   
 LEÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5,865   ; 22,917   ; -   ; 3,207,828   ; 1,253,613   ; 168,196   ; 35,684   ; 231,419   ; 149,688   ; 24,766   ; 37,866   ; 1,171,041   ; 12,456   ; 743,740   ; 175,193   
 LLEIDA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20,632   ; 939   ; -   ; 1,617   ; 9,420,874   ; 1,015,871   ; -   ; 587,653   ; 320,934   ; 1,998,658   ; 883,674   ; 106,602   ; 22,526   ; 1,491   ; 114,901   ; 203,143   
 LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 67,263   ; 4,432   ; -   ; 7,234,987   ; 287,003   ; 34,160   ; 4,471   ; 50,188   ; 12,694   ; 24,361   ; 54,495   ; 1,948,463   ; 5,584   ; 1,073,856   ; 187,493   
 LUGO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 144   ; 275   ; 27,186   ; 19,881,694   ; 3,099,683   ; 411,463   ; 119,556   ; 989,220   ; 2,084,718   ; 40,356   ; 205,135   ; 7,989,858   ; 109,491   ; 2,083,142   ; 150,668   
 MADRID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 167,520   ; -   ; -   ; 13,209   ; -   ; 1,868,261   ; 1,388,469   ; 26,384   ; 1,980   ; 520,743   ; 325,739   ; 4,251,217   ; 5,632   ; 1,630,711   ; 375,792   ; 1,704,549   ; 149,658   
 MÁLAGA; 20,359   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 49,260   ; -   ; -   ; -   ; -   ; 21,282,829   ; 259,902   ; 38,434   ; 65,412   ; 37,685   ; 499,531   ; -   ; 69,316   ; 26,920   ; 177,646   ; 18,572   ; 184,590   
