ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
inundaciones; CASTELLÓ/CASTELLÓN; -   ;408; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;106,241; -   ; -   ; -   ; -   ; -   
inundaciones; CIUDAD REAL; -   ;722;1,165; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;690;1,027,641;910;2,783; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; CÓRDOBA; -   ; -   ;25,326; -   ; -   ; -   ; -   ; -   ; -   ;15,120;17,632; -   ; -   ;28,175; -   ;3,296; -   ;4,233; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; A CORUÑA;11,989;29,707;21,773;49,551;377;1,788; -   ; -   ; -   ; -   ;2,976; -   ;160,649; -   ; -   ; -   ; -   ;9,534; -   ; -   ; -   ; -   ; -   ; -   ;825; -   ; -   
inundaciones; CUENCA; -   ; -   ; -   ; -   ;1,973; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2,067;20,385;4,378; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; GIRONA; -   ; -   ;28,144; -   ; -   ; -   ;1,960; -   ; -   ; -   ;325,874; -   ; -   ;1,796; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,729; -   ; -   ; -   ; -   
inundaciones; GRANADA;11,900;1,779;2,378;2,058;3,519;328; -   ; -   ; -   ;583; -   ; -   ; -   ;6,984; -   ;605; -   ;2,864;1,074; -   ; -   ; -   ;795; -   ; -   ;1,953;17,809
inundaciones; GUADALAJARA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;32,061;1,019; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; GIPUZKOA;1,029; -   ; -   ;1,410;35,500; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,901; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; HUELVA;14,755; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13,063;5,447;1,094; -   ;73,725;5,962; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;385; -   ; -   ; -   ; -   ; -   ;972; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; JAÉN;430; -   ;5,062; -   ; -   ;622; -   ; -   ;162;3,141;658;2,856; -   ;5,786; -   ; -   ;2,914; -   ;32,282;1,767;24,745; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; LEÓN; -   ;57,974; -   ;151,729;4,234; -   ; -   ; -   ;9,970;4,960; -   ; -   ;17,513; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; LLEIDA; -   ;682;1,587; -   ; -   ;99; -   ; -   ; -   ; -   ; -   ; -   ;927; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; LUGO;2,902;628,237;211,954;1,237,342;22,344;43,490;502;12,886;6,268; -   ;3,018;246;10,455; -   ; -   ; -   ; -   ;17,235; -   ; -   ;940; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; MADRID; -   ;9,032;9,649; -   ; -   ; -   ;1,403; -   ; -   ; -   ; -   ; -   ; -   ;66,047; -   ; -   ;680;4,423;2,857; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; MÁLAGA;3,446;1,332;96;3,895; -   ;369; -   ; -   ;2,574; -   ;1,533; -   ; -   ;455; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;814; -   ; -   
inundaciones; MURCIA; -   ;31,277;31,991; -   ;3,012;16,402,558;5,212; -   ;1,368,430;1,681;28,660;8,874,129;17,824; -   ; -   ;26,525;3,118;500,119,138;7,174;3,986; -   ; -   ; -   ; -   ;438; -   ; -   
inundaciones; NAVARRA; -   ; -   ;53,818; -   ;21,412; -   ; -   ; -   ;381,420; -   ;405,318;178; -   ;2,268; -   ; -   ; -   ;1,211; -   ; -   ; -   ; -   ; -   ;53,617; -   ; -   ;75,697
inundaciones; OURENSE;1,428;37,767;6,560;151,772;11,181; -   ; -   ;1,301; -   ; -   ;14,796; -   ; -   ; -   ; -   ; -   ;1,571;6,835; -   ; -   ; -   ; -   ; -   ;3,447; -   ; -   ; -   
inundaciones; ASTURIAS;3,408;29,493;494;42,573; -   ; -   ; -   ; -   ; -   ;4,485;424; -   ; -   ; -   ; -   ;625; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; LAS PALMAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;51,757; -   ; -   ; -   ; -   ; -   ; -   ; -   ;14,022; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; PONTEVEDRA; -   ;19,009;7,086;44,187;556; -   ; -   ; -   ;4,702; -   ;2,620; -   ;566; -   ; -   ; -   ;3,281; -   ; -   ;5,477; -   ; -   ; -   ; -   ;5,264; -   ; -   
inundaciones; SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; CANTABRIA; -   ; -   ; -   ;2,143; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; SEVILLA;6,181; -   ; -   ; -   ;1,015; -   ; -   ; -   ;4,848;3,080;1,952; -   ; -   ;32,950;69,088; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; SORIA; -   ; -   ; -   ; -   ;6,889; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; TARRAGONA; -   ;3,478; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;421; -   ;3,145;140,241;21,031; -   ;10,630;43,261; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; VALÈNCIA/VALENCIA;22,885;17,267;1,843;138,679;23,425;102,017;433; -   ; -   ;29,718;497;118;861; -   ;39,440;71,881;11,346;89; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; VALLADOLID; -   ; -   ;574;1,700; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; ZAMORA; -   ; -   ; -   ;13,551; -   ; -   ; -   ; -   ; -   ;34,810;3,744; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;188,029; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
inundaciones; MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;8,126; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,610; -   ; -   ;7,817,222; -   ; -   ; -   ; -   
inundaciones; DIVERSAS*;9,019; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
tempestad; ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;9,660;4,083; -   ;45,952;220,306; -   ;3,528,079;10,221,826;384,566;22,668;421,495;91,665;30,970;38,409;6,702,182;2,400;542,776;346,796
tempestad; ALBACETE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4,005; -   ;1,439;8,797; -   ;2,781,350;39,906;288,807;2,336,359;2,215,381; -   ; -   ; -   ;1,554; -   ; -   ; -   
tempestad; ALACANT/ALICANTE; -   ; -   ; -   ;9,052; -   ; -   ; -   ;26,588; -   ;1,721,983;3,197;69,721; -   ;44,987;226,221;59,522,748;17,077; -   ; -   ; -   ; -   ;225,119; -   ;479,225;9,651;3,192,598;1,970,938
